,0,1
0,A,NATI
1,A,ILMN
2,A,BRKR
3,A,AME
4,A,DHR
5,A,GE
6,A,TMO
7,A,PKI
8,A,TER
9,A,XLV
10,A,SPY
11,AA,BBL
12,AA,CENX
13,AA,KALU
14,AA,BHP
15,AA,ACH
16,AA,SPY
17,AABA,SPY
18,AAL,SKYW
19,AAL,JBLU
20,AAL,HA
21,AAL,ALGT
22,AAL,CEA
23,AAL,ALK
24,AAL,LUV
25,AAL,DAL
26,AAL,SAVE
27,AAL,UAL
28,AAL,SPY
29,AAN,RCII
30,AAN,CONN
31,AAN,BBY
32,AAN,PIR
33,AAN,WSM
34,AAN,GME
35,AAN,SPY
36,AAON,LII
37,AAON,LXU
38,AAON,AOS
39,AAON,SXI
40,AAON,UTX
41,AAON,IR
42,AAON,CUO
43,AAON,SPY
44,AAP,MNRO
45,AAP,PRTS
46,AAP,AZO
47,AAP,HZO
48,AAP,GPC
49,AAP,ORLY
50,AAP,SPY
51,AAPL,MSFT
52,AAPL,NOK
53,AAPL,IBM
54,AAPL,HPQ
55,AAPL,GOOGL
56,AAPL,BB
57,AAPL,XLK
58,AAPL,SPY
59,AAT,VNO
60,AAT,BXP
61,AAT,FRT
62,AAT,HMG
63,AAT,WRE
64,AAT,EPR
65,AAT,VER
66,AAT,SPY
67,AAWW,ATSG
68,AAWW,BA
69,AAWW,FDX
70,AAWW,SPY
71,AAXN,SPY
72,AB,AMG
73,AB,WDR
74,AB,EV
75,AB,BEN
76,AB,LM
77,AB,BLK
78,AB,LAZ
79,AB,GBL
80,AB,OAK
81,AB,SPY
82,ABBV,AMGN
83,ABBV,NBIX
84,ABBV,GILD
85,ABBV,BIIB
86,ABBV,AZN
87,ABBV,GSK
88,ABBV,BMY
89,ABBV,LLY
90,ABBV,PFE
91,ABBV,XLV
92,ABBV,SPY
93,ABC,HSIC
94,ABC,OMCL
95,ABC,PDCO
96,ABC,CAH
97,ABC,OMI
98,ABC,CVS
99,ABC,RAD
100,ABC,MCK
101,ABC,HLF
102,ABC,WBA
103,ABC,XLV
104,ABC,SPY
105,ABCB,CBAN
106,ABCB,LION
107,ABCB,BBT
108,ABCB,STI
109,ABCB,SGB
110,ABCB,UCBI
111,ABCB,SPY
112,ABG,CPRT
113,ABG,CRMT
114,ABG,RUSHA
115,ABG,LAD
116,ABG,AN
117,ABG,GPI
118,ABG,SAH
119,ABG,KMX
120,ABG,PAG
121,ABG,SPY
122,ABM,CTAS
123,ABM,HCSG
124,ABM,EME
125,ABM,SP
126,ABM,SPY
127,ABMD,XLV
128,ABMD,SPY
129,ABR,STWD
130,ABR,BXMT
131,ABR,CMCT
132,ABR,SPY
133,ABT,XLV
134,ABT,TMO
135,ABT,HOLX
136,ABT,JNJ
137,ABT,BMY
138,ABT,PFE
139,ABT,BSX
140,ABT,MYL
141,ABT,SPY
142,ABTX,SPY
143,AC,NOAH
144,AC,OAK
145,AC,SPY
146,ACAD,XLV
147,ACAD,SPY
148,ACC,CUZ
149,ACC,SPY
150,ACCO,LOGI
151,ACCO,ZAGG
152,ACCO,ACU
153,ACCO,PBI
154,ACCO,MMM
155,ACCO,NWL
156,ACCO,SPY
157,ACGL,WRB
158,ACGL,MKL
159,ACGL,RE
160,ACGL,AXS
161,ACGL,CB
