,ticker,fund_aum,asset_class,focus,development_level,region,is_levered,options_available
0,FLGE,2409798109.0,Equity,Large Cap,Developed Markets,North America,1.0,0.0
1,RDVY,508303563.0,Equity,High Dividend Yield,Developed Markets,North America,0.0,0.0
2,KBA,321524168.0,Equity,Broad Equity,Emerging Markets,Asia-Pacific,0.0,1.0
3,IPOS,2248622.0,Equity,Alpha-Seeking,Developed Markets,Global Ex-U.S.,0.0,0.0
4,CEFL,230522000.0,Multi Asset,Target Outcome,Blended Development,Global,1.0,0.0
5,SPY,280305259398.0,Equity,Large Cap,Developed Markets,North America,0.0,1.0
6,MDY,21405704741.0,Equity,Mid Cap,Developed Markets,North America,0.0,1.0
7,EWS,719099500.0,Equity,Broad Equity,Developed Markets,Asia-Pacific,0.0,1.0
8,EWW,1156450000.0,Equity,Broad Equity,Emerging Markets,Latin America,0.0,1.0
9,EWM,642312000.0,Equity,Broad Equity,Emerging Markets,Asia-Pacific,0.0,1.0
10,EWA,1461418000.0,Equity,Broad Equity,Developed Markets,Asia-Pacific,0.0,1.0
11,EWL,1015297500.0,Equity,Broad Equity,Developed Markets,Europe,0.0,1.0
12,EWN,185735000.0,Equity,Broad Equity,Developed Markets,Europe,0.0,1.0
13,EWH,2462397000.0,Equity,Broad Equity,Developed Markets,Asia-Pacific,0.0,1.0
14,EWU,1878910000.0,Equity,Broad Equity,Developed Markets,Europe,0.0,1.0
15,EWD,322920000.0,Equity,Broad Equity,Developed Markets,Europe,0.0,1.0
16,EWG,3847374000.0,Equity,Broad Equity,Developed Markets,Europe,0.0,1.0
17,EWC,2768601000.0,Equity,Broad Equity,Developed Markets,North America,0.0,1.0
18,EWO,254448000.0,Equity,Broad Equity,Developed Markets,Europe,0.0,0.0
19,EWK,69555200.0,Equity,Broad Equity,Developed Markets,Europe,0.0,1.0
20,EWQ,849560000.0,Equity,Broad Equity,Developed Markets,Europe,0.0,1.0
21,EWI,651740250.0,Equity,Broad Equity,Developed Markets,Europe,0.0,1.0
22,EWP,974100000.0,Equity,Broad Equity,Developed Markets,Europe,0.0,1.0
23,EWJ,21050994000.0,Equity,Broad Equity,Developed Markets,Asia-Pacific,0.0,1.0
24,DIA,22996749759.0,Equity,Large Cap,Developed Markets,North America,0.0,1.0
25,XLY,14619113752.0,Equity,Consumer Discretionary,Developed Markets,North America,0.0,1.0
26,XLP,8117345612.0,Equity,Consumer Staples,Developed Markets,North America,0.0,1.0
27,XLE,19135664040.0,Equity,Energy,Developed Markets,North America,0.0,1.0
28,XLF,33234218035.0,Equity,Financials,Developed Markets,North America,0.0,1.0
29,XLV,17552115505.0,Equity,Health Care,Developed Markets,North America,0.0,1.0
30,XLI,13475294880.0,Equity,Industrials,Developed Markets,North America,0.0,1.0
31,XLB,5064824620.0,Equity,Basic Materials,Developed Markets,North America,0.0,1.0
32,XLK,22696888157.0,Equity,Technology,Developed Markets,North America,0.0,1.0
33,XLU,7324428074.0,Equity,Utilities,Developed Markets,North America,0.0,1.0
