,ticker,ceo,website,industry_category,industry_group,sec_filings
0,A,Michael R. McMullen,www.agilent.com,Health Services,Medical Laboratories & Research,https://www.sec.gov/cgi-bin/browse-edgar?CIK=A&owner=exclude&action=getcompany
1,AA,Roy C. Harvey,www.alcoa.com,Metals & Mining,Aluminum,https://www.sec.gov/cgi-bin/browse-edgar?CIK=AA&owner=exclude&action=getcompany
2,AABA,Marissa Ann Mayer,www.yahoo.com,Internet,Internet Information Providers,https://www.sec.gov/cgi-bin/browse-edgar?CIK=AABA&owner=exclude&action=getcompany
3,AAL,Doug Parker,www.aa.com,Transportation,Major Airlines,https://www.sec.gov/cgi-bin/browse-edgar?CIK=AAL&owner=exclude&action=getcompany
4,AAN,John W. Robinson,www.aarons.com,Diversified Services,Rental & Leasing Services,https://www.sec.gov/cgi-bin/browse-edgar?CIK=AAN&owner=exclude&action=getcompany
5,AAON,Norman H. Asbjornson,www.aaon.com,Materials & Construction,General Building Materials,https://www.sec.gov/cgi-bin/browse-edgar?CIK=AAON&owner=exclude&action=getcompany
6,AAP,Thomas R. Greco,www.AdvanceAutoParts.com,Retail,Auto Parts Stores,https://www.sec.gov/cgi-bin/browse-edgar?CIK=AAP&owner=exclude&action=getcompany
7,AAPL,Tim Cook,www.apple.com,Consumer Durables,Electronic Equipment,https://www.sec.gov/cgi-bin/browse-edgar?CIK=AAPL&owner=exclude&action=getcompany
8,AAT,Ernest Sylvan Rady,www.americanassets.com,Real Estate,REIT - Retail,https://www.sec.gov/cgi-bin/browse-edgar?CIK=AAT&owner=exclude&action=getcompany
9,AAWW,William J. Flynn,www.atlasair.com,Transportation,"Air Services, Other",https://www.sec.gov/cgi-bin/browse-edgar?CIK=AAWW&owner=exclude&action=getcompany
10,AAXN,Patrick W. Smith,www.axon.com,Aerospace/Defense,Aerospace/Defense Products & Services,https://www.sec.gov/cgi-bin/browse-edgar?CIK=AAXN&owner=exclude&action=getcompany
11,AB,Peter Steven Kraus,www.alliancebernstein.com,Financial Services,Asset Management,https://www.sec.gov/cgi-bin/browse-edgar?CIK=AB&owner=exclude&action=getcompany
12,ABBV,Richard A. Gonzalez,www.abbvie.com,Drugs,Drug Manufacturers - Major,https://www.sec.gov/cgi-bin/browse-edgar?CIK=ABBV&owner=exclude&action=getcompany
13,ABC,Steven H. Collis,www.amerisourcebergen.com,Wholesale,Drugs Wholesale,https://www.sec.gov/cgi-bin/browse-edgar?CIK=ABC&owner=exclude&action=getcompany
14,ABCB,Edwin W. Hortman,www.amerisbank.com,Banking,Regional - Mid-Atlantic Banks,https://www.sec.gov/cgi-bin/browse-edgar?CIK=ABCB&owner=exclude&action=getcompany
15,ABG,Craig T. Monaghan,www.asburyauto.com,Specialty Retail,Auto Dealerships,https://www.sec.gov/cgi-bin/browse-edgar?CIK=ABG&owner=exclude&action=getcompany
16,ABM,Scott Salmirs,www.abm.com,Diversified Services,Business Services,https://www.sec.gov/cgi-bin/browse-edgar?CIK=ABM&owner=exclude&action=getcompany
