,ticker,name
0,A,A (Agilent Technologies Inc)
1,AA,AA (Alcoa Corp)
2,AABA,AABA (Altaba Inc)
3,AAL,AAL (American Airlines Group Inc)
4,AAN,AAN (Aaron's Inc)
5,AAON,AAON (AAON Inc)
6,AAP,AAP (Advance Auto Parts Inc)
7,AAPL,AAPL (Apple Inc)
8,AAT,AAT (American Assets Trust Inc)
9,AAWW,AAWW (Atlas Air Worldwide Holdings Inc)
10,AAXN,AAXN (Axon Enterprise Inc)
11,AB,AB (AllianceBernstein Holding LP)
12,ABBV,ABBV (AbbVie Inc)
13,ABC,ABC (AmerisourceBergen Corp)
14,ABCB,ABCB (Ameris Bancorp)
15,ABG,ABG (Asbury Automotive Group Inc)
16,ABM,ABM (ABM Industries Inc)
17,ABMD,ABMD (Abiomed Inc)
18,ABR,ABR (Arbor Realty Trust Inc)
19,ABT,ABT (Abbott Laboratories)
20,ABTX,ABTX (Allegiance Bancshares Inc)
21,AC,AC (Associated Capital Group Inc)
22,ACAD,ACAD (ACADIA Pharmaceuticals Inc)
23,ACC,ACC (American Campus Communities Inc)
24,ACCO,ACCO (ACCO Brands Corp)
25,ACGL,ACGL (Arch Capital Group Ltd)
26,ACHC,ACHC (Acadia Healthcare Company Inc)
27,ACIA,ACIA (Acacia Communications Inc)
28,ACIW,ACIW (ACI Worldwide Inc)
29,ACLS,ACLS (Axcelis Technologies Inc)
30,ACM,ACM (AECOM)
31,ACN,ACN (Accenture PLC)
32,ACOR,ACOR (Acorda Therapeutics Inc)
33,ACV,ACV (AllianzGI Diversified Income & Convertible Fund)
34,ADAP,ADAP (Adaptimmune Therapeutics PLC)
35,ADBE,ADBE (Adobe Systems Inc)
36,ADC,ADC (Agree Realty Corp)
37,ADI,ADI (Analog Devices Inc)
38,ADM,ADM (Archer Daniels Midland Co)
39,ADNT,ADNT (Adient PLC)
40,ADP,ADP (Automatic Data Processing Inc)
41,ADRO,ADRO (Aduro Biotech Inc)
42,ADS,ADS (Alliance Data Systems Corp)
43,ADSK,ADSK (Autodesk Inc)
44,ADSW,ADSW (Advanced Disposal Services Inc)
45,ADT,ADT (ADT Inc)
46,ADTN,ADTN (ADTRAN Inc)
47,ADUS,ADUS (Addus Homecare Corp)
48,AEE,AEE (Ameren Corp)
49,AEGN,AEGN (Aegion Corp)
50,AEIS,AEIS (Advanced Energy Industries Inc)
51,AEL,AEL (American Equity Investment Life Holding Co)
52,AEO,AEO (American Eagle Outfitters Inc)
53,AEP,AEP (American Electric Power Company Inc)
54,AERI,AERI (Aerie Pharmaceuticals Inc)
55,AES,AES (AES Corp)
56,AFG,AFG (American Financial Group Inc)
57,AFL,AFL (Aflac Inc)
58,AGCO,AGCO (AGCO Corp)
59,AGIO,AGIO (Agios Pharmaceuticals Inc)
60,AGM,AGM (Federal Agricultural Mortgage Corp)
61,AGN,AGN (Allergan plc)
62,AGNC,AGNC (AGNC Investment Corp)
63,AGO,AGO (Assured Guaranty Ltd)
64,AGR,AGR (Avangrid Inc)
65,AGX,AGX (Argan Inc)
66,AHH,AHH (Armada Hoffler Properties Inc)
67,AHT,AHT (Ashford Hospitality Trust Inc)
68,AIG,AIG (American International Group Inc)
69,AIMC,AIMC (Altra Industrial Motion Corp)
70,AIMT,AIMT (Aimmune Therapeutics Inc)
71,AIN,AIN (Albany International Corp)
72,AIR,AIR (AAR Corp)
73,AIT,AIT (Applied Industrial Technologies Inc)
74,AIV,AIV (Apartment Investment and Management Co)
75,AIZ,AIZ (Assurant Inc)
76,AJG,AJG (Arthur J Gallagher & Co)
77,AJRD,AJRD (Aerojet Rocketdyne Holdings Inc)
78,AKAM,AKAM (Akamai Technologies Inc)
79,AKR,AKR (Acadia Realty Trust)
80,AKRX,AKRX (Akorn Inc)
81,AKS,AKS (AK Steel Holding Corp)
82,AKTX,AKTX (Akari Therapeutics PLC)
83,AL,AL (Air Lease Corp)
84,ALB,ALB (Albemarle Corp)
85,ALDR,ALDR (Alder Biopharmaceuticals Inc)
86,ALE,ALE (ALLETE Inc)
87,ALEX,ALEX (Alexander & Baldwin Inc)
88,ALG,ALG (Alamo Group Inc)
89,ALGN,ALGN (Align Technology Inc)
90,ALGT,ALGT (Allegiant Travel Co)
91,ALK,ALK (Alaska Air Group Inc)
92,ALKS,ALKS (Alkermes Plc)
93,ALL,ALL (Allstate Corp)
94,ALLE,ALLE (Allegion PLC)
95,ALLY,ALLY (Ally Financial Inc)
96,ALNY,ALNY (Alnylam Pharmaceuticals Inc)
97,ALRM,ALRM (Alarm.com Holdings Inc)
98,ALSN,ALSN (Allison Transmission Holdings Inc)
99,ALTR,ALTR (Altair Engineering Inc)
100,ALV,ALV (Autoliv Inc)
101,ALX,ALX (Alexander's Inc)
102,ALXN,ALXN (Alexion Pharmaceuticals Inc)
103,AM,AM (Antero Midstream Partners LP)
104,AMAG,AMAG (AMAG Pharmaceuticals Inc)
105,AMAT,AMAT (Applied Materials Inc)
106,AMBA,AMBA (Ambarella Inc)
107,AMBC,AMBC (Ambac Financial Group Inc)
108,AMC,AMC (AMC Entertainment Holdings Inc)
109,AMCX,AMCX (AMC Networks Inc)
110,AMD,AMD (Advanced Micro Devices Inc)
111,AME,AME (Ametek Inc)
112,AMED,AMED (Amedisys Inc)
113,AMG,AMG (Affiliated Managers Group Inc)
114,AMGN,AMGN (Amgen Inc)
115,AMH,AMH (American Homes 4 Rent)
116,AMKR,AMKR (Amkor Technology Inc)
117,AMN,AMN (AMN Healthcare Services Inc)
118,AMP,AMP (Ameriprise Financial Inc)
119,AMPH,AMPH (Amphastar Pharmaceuticals Inc)
120,AMRC,AMRC (Ameresco Inc)
121,AMSF,AMSF (Amerisafe Inc)
122,AMT,AMT (American Tower Corp)
123,AMTD,AMTD (TD Ameritrade Holding Corp)
124,AMWD,AMWD (American Woodmark Corp)
125,AMZN,AMZN (Amazon.com Inc)
126,AN,AN (AutoNation Inc)
127,ANAB,ANAB (AnaptysBio Inc)
128,ANAT,ANAT (American National Insurance Co)
129,ANDE,ANDE (Andersons Inc)
130,ANDX,ANDX (Andeavor Logistics LP)
131,ANET,ANET (Arista Networks Inc)
132,ANF,ANF (Abercrombie & Fitch Co)
133,ANGI,ANGI (ANGI Homeservices Inc.)
134,ANGO,ANGO (AngioDynamics Inc)
135,ANIK,ANIK (Anika Therapeutics Inc)
136,ANIP,ANIP (ANI Pharmaceuticals Inc)
137,ANSS,ANSS (ANSYS Inc)
138,ANTM,ANTM (Anthem Inc)
139,AOBC,AOBC (American Outdoor Brands Corp)
140,AON,AON (Aon PLC)
141,AOS,AOS (A. O. Smith Corp)
142,APA,APA (Apache Corp)
143,APAM,APAM (Artisan Partners Asset Management Inc)
144,APC,APC (Anadarko Petroleum Corp)
145,APD,APD (Air Products and Chemicals Inc)
146,APH,APH (Amphenol Corp)
147,APLE,APLE (Apple Hospitality REIT Inc)
148,APLS,APLS (Apellis Pharmaceuticals Inc)
149,APO,APO (Apollo Global Management LLC)
150,APOG,APOG (Apogee Enterprises Inc)
